,index,Global_active_power,Global_reactive_power,Voltage,Sub_metering_total,Hour,Minutes,day,month,year
36,961008,1.388,0.064,241.02,18,2,12,14,10,2008
37,566329,0.392,0.198,243.57,0,0,13,14,1,2008
38,1070676,0.218,0,246.52,0,6,0,29,12,2008
39,908557,2.454,0.22,239.63,34,16,1,7,9,2008
40,93295,2.254,0.08,237.04,17,12,19,19,2,2007
41,472649,2.036,0.268,242.31,20,22,53,9,11,2007
42,84530,0.414,0.104,239.73,0,10,14,13,2,2007
43,1647851,1.506,0.096,243.16,19,1,35,3,2,2010
44,1535856,3.454,0,239.65,18,7,0,17,11,2009
45,1071040,0.38,0.204,243.43,0,12,4,29,12,2008
46,1648102,0.256,0,245.14,0,5,46,3,2,2010
47,1776084,0.246,0,243.95,0,2,48,3,5,2010
48,1253287,0.254,0,244.46,1,1,31,5,5,2009
49,2049410,2.694,0.202,237.6,18,22,14,8,11,2010
50,696239,0.26,0,242.55,1,5,23,13,4,2008
51,1131795,0.476,0.064,246.93,0,16,39,9,2,2009
52,1282542,1.44,0,239.13,18,9,6,25,5,2009
53,1742435,0.406,0.226,242.25,3,17,59,9,4,2010
54,943625,1.29,0.046,239.39,19,0,29,2,10,2008
55,456011,0.206,0,238.38,0,9,35,29,10,2007
56,946100,0.468,0,240.93,1,17,44,3,10,2008
57,900550,0.144,0,240.01,0,2,34,2,9,2008
58,1926520,0.25,0.12,240.67,0,14,4,15,8,2010
59,769381,0.224,0.092,237.98,0,0,25,3,6,2008
60,534978,1.36,0,247.22,19,5,42,23,12,2007
61,126521,0.436,0.164,244.21,2,14,5,14,3,2007
62,669673,0.6,0.232,242.25,1,18,37,25,3,2008
63,1587002,2.774,0.104,245.43,19,19,26,22,12,2009
64,1797734,0.39,0.092,241.71,0,3,38,18,5,2010
65,1048414,1.354,0.184,237.78,0,18,58,13,12,2008
66,1729410,1.51,0.408,242.32,18,16,54,31,3,2010
67,1838022,0.176,0,242.15,0,3,6,15,6,2010
68,1209909,1.896,0,239.98,18,22,33,4,4,2009
69,1062024,1.288,0.058,241.47,18,5,48,23,12,2008
70,765163,0.16,0,242.8,0,2,7,31,5,2008
71,622356,1.926,0,236.83,0,22,0,21,2,2008
72,1681727,1.346,0,241.77,19,14,11,26,2,2010
73,96004,1.376,0.114,239.01,17,9,28,21,2,2007
74,48426,3.508,0.082,234.66,54,8,30,19,1,2007
75,56674,0.212,0,241.51,0,1,58,25,1,2007
76,2031577,0.712,0.154,246.08,1,13,1,27,10,2010
77,799469,2.89,0.21,238.48,20,21,53,23,6,2008
78,1274954,0.426,0.214,240.84,2,2,38,20,5,2009
79,408,2.56,0.286,238.71,2,0,12,17,12,2006
80,635589,0.218,0,241.93,0,2,33,2,3,2008
81,1129099,3.504,0.058,240.8,19,19,43,7,2,2009
82,956264,0.34,0,241.74,1,19,8,10,10,2008
83,1499768,0.89,0.142,242.66,12,5,32,23,10,2009
84,2068474,0.308,0.08,244.35,1,3,58,22,11,2010
85,120756,1.846,0.274,241.03,18,14,0,10,3,2007
86,662471,1.186,0.248,238.64,1,18,35,20,3,2008
87,1708677,2.328,0.154,242.58,19,7,21,17,3,2010
88,579070,1.556,0.328,235.5,1,20,34,22,1,2008
89,1828111,0.248,0.072,242.28,1,5,55,8,6,2010
90,365684,0.18,0.112,239.13,2,16,8,27,8,2007
91,559589,3.262,0.054,237.45,18,7,53,9,1,2008
92,879969,0.08,0,240.77,0,19,33,18,8,2008
93,358546,0.208,0.138,241.68,0,17,10,22,8,2007
94,1376155,1.426,0.216,239.91,21,9,19,29,7,2009
95,28569,0.256,0,243.07,0,13,33,5,1,2007
96,97874,0.67,0.08,242.16,0,16,38,22,2,2007
97,1874508,0.662,0.146,237.72,6,11,12,10,7,2010
98,2022186,0.382,0.074,242.04,2,0,30,21,10,2010
99,833136,0.288,0.096,241.39,1,7,0,17,7,2008
100,1168126,2.736,0.108,240.46,38,22,10,6,3,2009
101,1775440,1.76,0.194,239.72,18,16,4,2,5,2010
102,1803559,0.332,0,239.82,1,4,43,22,5,2010
103,1341469,0.206,0,241.68,1,7,13,5,7,2009
104,834299,0.2,0,240.18,1,2,23,18,7,2008
105,406784,0.262,0.194,240.81,1,5,8,25,9,2007
106,586909,0.712,0,240.58,0,7,13,28,1,2008
107,1968874,0.204,0,245.53,0,23,58,13,9,2010
108,1076794,1.596,0.112,239.94,22,11,58,2,1,2009
109,361897,0.39,0.29,240.49,3,1,1,25,8,2007
110,239661,0.304,0.078,236.83,0,3,45,1,6,2007
111,524519,0.928,0,244.95,0,23,23,15,12,2007
112,861932,0.308,0.058,240.47,4,6,56,6,8,2008
113,1530033,1.292,0.062,239.72,18,5,57,13,11,2009
114,1279485,1.408,0.086,241.53,20,6,9,23,5,2009
115,812481,0.452,0.144,239.99,2,22,45,2,7,2008
116,1899996,0.332,0.234,241.86,1,4,0,28,7,2010
117,2031604,0.624,0.056,247.13,1,13,28,27,10,2010
118,1929560,0.332,0.17,242.61,0,16,44,17,8,2010
119,1908314,0.406,0.338,239.88,1,22,38,2,8,2010
120,208461,0.124,0,234.48,0,11,45,10,5,2007
121,1237786,0.312,0,242.82,1,7,10,24,4,2009
122,747264,0.35,0.232,240.8,0,15,48,18,5,2008
123,1178576,0.298,0.08,243.79,1,4,20,14,3,2009
124,1801543,1.364,0.052,241.79,19,19,7,20,5,2010
125,395579,0.182,0.078,235.4,1,10,23,17,9,2007
126,190240,0.226,0.108,234.76,0,20,4,27,4,2007
127,1726424,1.334,0,242.53,19,15,8,29,3,2010
128,1136732,0.222,0,244.08,0,2,56,13,2,2009
129,345280,1.12,0,234.42,17,12,4,13,8,2007
130,870794,0.174,0.146,238.37,1,10,38,12,8,2008
131,1151058,1.302,0,243.03,0,1,42,23,2,2009
132,1315116,0.24,0.142,245.07,0,0,0,17,6,2009
133,1874538,0.706,0.272,238.34,9,11,42,10,7,2010
134,21916,2.63,0.228,240.51,0,22,40,31,12,2006
135,452772,0.398,0,241.25,0,3,36,27,10,2007
136,162957,0.286,0.104,240.15,1,21,21,8,4,2007
137,1411822,0.382,0.368,241.91,1,3,46,23,8,2009
138,1658312,2.57,0.05,241.95,19,7,56,10,2,2010
139,1169695,0.46,0.078,242.69,0,0,19,8,3,2009
140,507499,0.302,0.104,245.13,0,3,43,4,12,2007
141,1917898,0.34,0.234,238.98,1,14,22,9,8,2010
142,1558871,0.374,0.106,242.05,3,6,35,3,12,2009
143,514403,1.47,0.078,242.93,18,22,47,8,12,2007
144,1365816,0.236,0.124,242.37,3,5,0,22,7,2009
145,100325,2.03,0.106,239.08,17,9,29,24,2,2007
146,1180098,0.316,0.104,243.57,0,5,42,15,3,2009
147,1004888,0.256,0.054,239.67,0,13,32,13,11,2008
148,1977567,0.284,0.178,244.83,2,0,51,20,9,2010
149,1064711,0.214,0.05,246.65,0,2,35,25,12,2008
150,1522853,0.224,0,244.6,1,6,17,8,11,2009
151,744837,0.322,0,244.42,0,23,21,16,5,2008
152,795747,0.274,0.098,240.82,1,7,51,21,6,2008
153,55563,3.456,0.11,236.19,17,7,27,24,1,2007
154,1062247,1.59,0.054,240.56,18,9,31,23,12,2008
155,1902868,0.288,0.168,241.55,3,3,52,30,7,2010
156,1289836,0.286,0,240.11,1,10,40,30,5,2009
157,1928313,0.75,0.252,241.29,0,19,57,16,8,2010
158,971801,1.424,0,243.61,19,14,5,21,10,2008
159,902509,2.458,0,237.32,37,11,13,3,9,2008
160,561957,0.306,0.094,243.2,1,23,21,10,1,2008
161,1082327,2.51,0.18,239.14,18,8,11,6,1,2009
162,750520,1.596,0.182,237.52,9,22,4,20,5,2008
163,1112644,1.574,0.196,242.63,18,9,28,27,1,2009
164,1794530,2.99,0.364,235.91,28,22,14,15,5,2010
165,492640,1.58,0.186,238.17,0,20,4,23,11,2007
166,762858,1.354,0,233.05,17,11,42,29,5,2008
167,1289647,0.39,0.102,240.78,1,7,31,30,5,2009
168,1496572,0.336,0.096,246.67,0,0,16,21,10,2009
169,1552694,1.48,0.05,240.45,18,23,38,28,11,2009
170,338669,0.218,0.058,235.06,0,21,53,8,8,2007
171,680266,0.34,0.128,243.81,0,3,10,2,4,2008
172,1039853,2.8,0.058,238.29,18,20,17,7,12,2008
173,573507,0.23,0,244.74,0,23,51,18,1,2008
174,2059369,2.558,0.124,239.04,18,20,13,15,11,2010
175,1408400,1.372,0.206,238.19,19,18,44,20,8,2009
176,957661,0.458,0.084,241.22,1,18,25,11,10,2008
177,550021,0.456,0.26,245.46,1,16,25,2,1,2008
178,884561,0.262,0.258,241.26,1,0,5,22,8,2008
179,1490835,0.394,0.19,241.25,1,0,39,17,10,2009
180,1832925,0.264,0.102,240.67,1,14,9,11,6,2010
181,623356,1.74,0.28,243.63,23,14,40,22,2,2008
182,1527358,1.788,0.054,240.4,21,9,22,11,11,2009
183,1650254,1.388,0.086,239.22,18,17,38,4,2,2010
184,963571,0.678,0,238.21,0,20,55,15,10,2008
185,1263795,1.434,0.06,238.58,18,8,39,12,5,2009
186,977980,0.272,0,239.88,0,21,4,25,10,2008
187,501980,2.508,0.054,241.41,17,7,44,30,11,2007
188,1410810,0.684,0.186,240.69,1,10,54,22,8,2009
189,813021,1.318,0.124,241.12,18,7,45,3,7,2008
190,1880168,0.348,0.138,239.91,1,9,32,14,7,2010
191,1610731,2.702,0.242,243.68,19,6,55,8,1,2010
192,659643,1.778,0.106,238.2,0,19,27,18,3,2008
193,2014128,1.37,0,237,18,10,12,15,10,2010
194,1942008,1.294,0,242.3,18,8,12,26,8,2010
195,687544,0.266,0,245.5,1,4,28,7,4,2008
196,1030773,1.506,0.072,241.11,18,12,57,1,12,2008
197,1693460,0.606,0.238,244.89,2,17,44,6,3,2010
198,684797,0.306,0.046,243.6,0,6,41,5,4,2008
199,1794525,2.376,0.2,235.9,17,22,9,15,5,2010
200,152280,1.922,0,238.57,17,11,24,1,4,2007
201,606479,2.332,0.082,240.6,18,21,23,10,2,2008
202,251858,0.384,0.214,242.04,0,15,2,9,6,2007
203,932421,0.41,0.098,238.43,1,5,45,24,9,2008
204,1734029,0.512,0.174,243.61,0,21,53,3,4,2010
205,1070557,0.31,0.106,246.55,0,4,1,29,12,2008
206,1848499,1.202,0,238.35,18,9,43,22,6,2010
207,1767663,0.732,0,242.17,0,6,27,27,4,2010
208,786108,1.338,0.098,241.59,20,15,12,14,6,2008
209,233673,0.26,0,236.22,0,23,57,27,5,2007
210,853601,0.49,0.202,240.64,2,12,5,31,7,2008
211,560169,0.406,0.202,239.68,1,17,33,9,1,2008
212,1385684,0.234,0.136,242.19,1,0,8,5,8,2009
213,408084,0.32,0.098,241.62,1,2,48,26,9,2007
214,153693,1.43,0.182,238.68,17,10,57,2,4,2007
215,480406,3.156,0.06,238.27,18,8,10,15,11,2007
216,1293512,0.216,0,243.01,1,23,56,1,6,2009
217,1954969,1.328,0.068,237.55,18,8,13,4,9,2010
218,1565780,0.272,0,244.99,0,1,44,8,12,2009
219,583854,0.33,0,243.04,0,4,18,26,1,2008
220,124669,1.894,0.34,241.61,19,7,13,13,3,2007
221,1973178,0.7,0,243.25,1,23,42,16,9,2010
222,1663143,1.728,0.18,245.66,19,16,27,13,2,2010
223,1592063,0.422,0.24,244.88,1,7,47,26,12,2009
224,773009,0.364,0.208,234.61,1,12,53,5,6,2008
225,1366776,1.054,0.21,241.99,2,21,0,22,7,2009
226,1512293,1.384,0.252,240.4,2,22,17,31,10,2009
227,2002221,0.244,0.06,242.6,1,3,45,7,10,2010
228,234881,1.79,0.09,233.18,17,20,5,28,5,2007
229,1608014,1.41,0.074,243.71,19,9,38,6,1,2010
230,608624,1.706,0,232.35,17,9,8,12,2,2008
231,778241,0.16,0,241.83,1,4,5,9,6,2008
232,1336956,0.282,0.112,241.13,1,4,0,2,7,2009
233,443761,0.41,0.092,241.91,1,21,25,20,10,2007
234,1275615,0.282,0,243.12,1,13,39,20,5,2009
235,993172,1.926,0.17,239.12,20,10,16,5,11,2008
236,793995,0.3,0.196,239.31,2,2,39,20,6,2008
237,630027,0.22,0,241.99,0,5,51,27,2,2008
238,530765,2.72,0,238.87,0,7,29,20,12,2007
239,1049653,3.336,0.21,241.84,43,15,37,14,12,2008
240,1272988,0.444,0.11,241.63,1,17,52,18,5,2009
241,1023651,0.286,0,242.08,0,14,15,26,11,2008
242,477853,2.104,0.122,242,23,13,37,13,11,2007
243,2060426,0.368,0.15,239.59,1,13,50,16,11,2010
244,291797,1.352,0.218,238.96,20,8,41,7,7,2007
245,493877,1.32,0,243.03,18,16,41,24,11,2007
246,80428,2.108,0.168,241.23,22,13,52,10,2,2007
247,693801,1.474,0.22,240.12,19,12,45,11,4,2008
248,1984593,1.528,0,237.54,0,21,57,24,9,2010
249,698759,2.186,0.154,243.8,19,23,23,14,4,2008
250,373217,2.138,0.274,238.06,1,21,41,1,9,2007
251,1157010,0.216,0.046,241.61,0,4,54,27,2,2009
252,2009894,0.282,0.06,240.93,1,11,38,12,10,2010
253,137312,0.288,0.066,244.01,0,1,56,22,3,2007
254,1668117,0.442,0.074,244.84,1,3,21,17,2,2010
255,1344079,0.14,0,241.82,1,2,43,7,7,2009
256,2034130,0.426,0.218,244.08,1,7,34,29,10,2010
257,1757266,0.392,0.056,244.8,1,1,10,20,4,2010
258,959126,1.664,0.3,233.43,3,18,50,12,10,2008
259,1631430,1.412,0.064,243.65,19,15,54,22,1,2010
260,1465155,0.316,0.236,242.06,2,4,39,29,9,2009
261,1512799,0.222,0,243.78,1,6,43,1,11,2009
262,1691668,0.58,0.106,243.64,1,11,52,5,3,2010
263,1864772,0.41,0.246,243.19,1,16,56,3,7,2010
264,2046721,0.376,0.084,241.95,1,1,25,7,11,2010
265,1261167,2.098,0.26,240.39,29,12,51,10,5,2009
266,1120405,1.86,0.076,238.6,0,18,49,1,2,2009
267,1167878,1.464,0.162,235.08,17,18,2,6,3,2009
268,1187721,1.304,0.046,243.08,18,12,45,20,3,2009
269,1470330,0.492,0,241.61,1,18,54,2,10,2009
270,102019,0.224,0,244.8,0,13,43,25,2,2007
271,179801,0.336,0.108,239.15,0,14,5,20,4,2007
272,818298,0.672,0.062,241.39,5,23,42,6,7,2008
273,1615177,1.484,0.094,243.98,19,9,1,11,1,2010
274,1754887,0.504,0.292,239.76,3,9,31,18,4,2010
275,1552113,1.736,0.294,243.05,20,13,57,28,11,2009
276,418546,1.472,0.172,236.11,19,9,10,3,10,2007
277,555431,1.356,0.052,236.29,17,10,35,6,1,2008
278,1418094,0.93,0.244,238.72,12,12,18,27,8,2009
279,1849904,1.412,0.31,236.42,19,9,8,23,6,2010
280,54758,2.23,0.254,242.05,2,18,2,23,1,2007
281,1205504,0.798,0.178,240.85,0,21,8,1,4,2009
282,1589057,0.234,0,246.24,0,5,41,24,12,2009
283,1761048,1.434,0.062,242.61,18,16,12,22,4,2010
284,1490973,0.302,0.056,241.29,0,2,57,17,10,2009
285,634497,0.496,0,238.85,0,8,21,1,3,2008
286,1790703,0.418,0.188,242.35,2,6,27,13,5,2010
287,744736,1.976,0.222,237.07,19,21,40,16,5,2008
288,590172,0.396,0.062,240.59,0,13,36,30,1,2008
289,238958,0.21,0,238.87,0,16,2,31,5,2007
290,1009368,2.008,0.092,240.55,18,16,12,16,11,2008
291,626864,0.312,0.106,239.96,0,1,8,25,2,2008
292,447519,1.352,0.056,240.23,17,12,3,23,10,2007
293,838715,0.978,0.316,241.12,13,3,59,21,7,2008
294,1756423,1.844,0.218,237.5,18,11,7,19,4,2010
295,617500,1.344,0.08,238.39,20,13,4,18,2,2008
296,1396483,0.868,0.158,240.99,12,12,7,12,8,2009
297,1808921,2.472,0.256,233.88,29,22,5,25,5,2010
298,560654,0.592,0.222,242.38,1,1,38,10,1,2008
299,1582683,2.454,0.154,243.23,22,19,27,19,12,2009
300,1201962,1.412,0.07,240.36,20,10,6,30,3,2009
301,67241,1.38,0.116,238.34,17,10,5,1,2,2007
302,534637,3.01,0.066,241.41,38,0,1,23,12,2007
303,1298727,1.324,0.09,237.85,17,14,51,5,6,2009
304,357230,0.52,0.316,239.41,0,19,14,21,8,2007
305,1822357,0.178,0,242.4,0,6,1,4,6,2010
306,174326,0.126,0,241.92,0,18,50,16,4,2007
307,1994004,0.238,0.064,242.2,1,10,48,1,10,2010
308,1507063,0.422,0,242.88,1,7,7,28,10,2009
309,1086790,1.594,0,244.39,20,10,34,9,1,2009
310,1070854,1.328,0.05,245.33,19,8,58,29,12,2008
311,974032,0.242,0,242.09,1,3,16,23,10,2008
312,785953,1.35,0.108,240.93,20,12,37,14,6,2008
313,889381,0.082,0,242.01,1,8,25,25,8,2008
314,186194,0.174,0,237.88,0,0,38,25,4,2007
315,34738,1.368,0.224,239.85,1,20,22,9,1,2007
316,484161,1.858,0.098,243.21,1,22,45,17,11,2007
317,821905,0.226,0.13,240.43,1,11,49,9,7,2008
318,2315,2.242,0.154,237.52,18,7,59,18,12,2006
319,1444267,0.618,0.162,244.03,2,16,31,14,9,2009
320,1842418,0.268,0.106,240.39,1,4,22,18,6,2010
321,1965969,1.894,0.148,246.7,0,23,33,11,9,2010
322,1664418,1.364,0.072,243.45,18,13,42,14,2,2010
323,984844,1.582,0.076,246.11,18,15,28,30,10,2008
324,1796883,1.438,0.09,241.48,18,13,27,17,5,2010
325,914595,1.868,0.088,238.41,18,20,39,11,9,2008
326,354280,2.294,0.292,239.39,28,18,4,19,8,2007
327,1439406,1.522,0.136,241.34,18,7,30,11,9,2009
328,1306227,1.75,0,240.09,18,19,51,10,6,2009
329,1582594,1.482,0.194,245.85,18,17,58,19,12,2009
330,525828,2.564,0,241.74,19,21,12,16,12,2007
331,1910048,0.262,0.12,241.52,1,3,32,4,8,2010
332,169136,0.398,0.216,239.74,0,4,20,13,4,2007
333,1728454,0.424,0.246,242.24,2,0,58,31,3,2010
334,1664356,1.376,0.072,244.97,19,12,40,14,2,2010
335,314155,1.21,0.052,236.52,17,21,19,22,7,2007
336,165327,0.22,0,242.86,0,12,51,10,4,2007
337,722531,0.412,0.204,238.42,1,11,35,1,5,2008
338,2022068,3.484,0.06,241.08,39,22,32,20,10,2010
339,403490,0.362,0.196,240.41,1,22,14,22,9,2007
340,1780694,1.526,0,234.51,17,7,38,6,5,2010
341,478267,2.732,0.104,240.85,18,20,31,13,11,2007
342,1641688,1.364,0.192,241,1,18,52,29,1,2010
343,1909905,0.158,0,242.59,0,1,9,4,8,2010
344,380830,0.112,0,241.02,0,4,34,7,9,2007
345,388863,0.18,0.068,239.67,0,18,27,12,9,2007
346,1236382,1.772,0.144,238.93,24,7,46,23,4,2009
347,860252,0.342,0.206,237.01,3,2,56,5,8,2008
348,1916678,0.254,0.104,236.71,1,18,2,8,8,2010
349,1351534,0.13,0,242.14,1,6,58,12,7,2009
350,822166,0.142,0,241.78,0,16,10,9,7,2008
351,1998012,0.818,0.06,240.99,1,5,36,4,10,2010
352,1738611,0.334,0.088,242.85,1,2,15,7,4,2010
353,1269152,0.224,0,240.23,0,1,56,16,5,2009
354,48364,2.722,0.058,239.34,18,7,28,19,1,2007
355,526398,0.22,0,244.48,0,6,42,17,12,2007
356,1290927,0.32,0.248,243.99,0,4,51,31,5,2009
357,419047,0.304,0.084,241.34,0,17,31,3,10,2007
358,660169,0.434,0.254,245.61,2,4,13,19,3,2008
359,1219064,1.496,0,242.34,19,7,8,11,4,2009
360,1766128,0.396,0.204,241.25,2,4,52,26,4,2010
361,2072937,0.226,0.05,243.17,0,6,21,25,11,2010
362,1720773,0.316,0.084,242.72,0,16,57,25,3,2010
363,1071239,0.32,0.102,245.14,0,15,23,29,12,2008
364,2073872,1.188,0.048,237.93,0,21,56,25,11,2010
365,956458,0.826,0,240.78,1,22,22,10,10,2008
366,771086,0.208,0,235.65,1,4,50,4,6,2008
367,1183351,1.47,0.254,241.01,20,11,55,17,3,2009
368,21817,2.362,0,235.59,0,21,1,31,12,2006
369,1536588,1.156,0.1,239.49,0,19,12,17,11,2009
370,1514922,3.416,0.074,236.43,29,18,6,2,11,2009
371,1109131,1.218,0.128,245.7,0,22,55,24,1,2009
372,1681559,2.098,0.158,238.98,20,11,23,26,2,2010
373,25276,0.25,0.054,245.65,0,6,40,3,1,2007
374,1061937,0.302,0.082,244.28,1,4,21,23,12,2008
375,950572,1.848,0.12,236.36,1,20,16,6,10,2008
376,1875486,0.166,0,240.62,0,3,30,11,7,2010
377,393123,0.308,0.248,241.9,2,17,27,15,9,2007
378,768913,0.412,0.188,235.04,0,16,37,2,6,2008
379,1746689,0.33,0.104,244.16,1,16,53,12,4,2010
380,760710,0.306,0.22,243.01,1,23,54,27,5,2008
381,1225256,0.414,0.144,243.79,1,14,20,15,4,2009
382,399548,0.214,0.114,243.02,0,4,32,20,9,2007
383,926971,1.596,0.078,237.19,18,10,55,20,9,2008
384,669027,1.712,0,240.12,18,7,51,25,3,2008
385,433818,1.034,0,240.73,0,23,42,13,10,2007
386,1974447,0.996,0.128,240.66,6,20,51,17,9,2010
387,1753112,0.324,0.052,241.99,1,3,56,17,4,2010
388,1507275,0.256,0,244.28,1,10,39,28,10,2009
389,326425,0.102,0,235.85,0,9,49,31,7,2007
390,609432,0.326,0.1,244.69,0,22,36,12,2,2008
391,514363,1.602,0.314,238.49,18,22,7,8,12,2007
392,1701131,0.252,0,244.5,0,1,35,12,3,2010
393,12589,1.542,0.072,243.44,0,11,13,25,12,2006
394,2036727,1.338,0.048,248.13,0,2,51,31,10,2010
395,71232,2.458,0.2,239.78,0,4,36,4,2,2007
396,1682090,2.446,0.168,237.63,18,20,14,26,2,2010
397,1513665,2.224,0.24,237.26,19,21,9,1,11,2009
398,190334,2.268,0.228,232.18,19,21,38,27,4,2007
399,65216,0.57,0,241.21,0,0,20,31,1,2007
400,813143,0.138,0,239.93,0,9,47,3,7,2008
401,1244556,0.464,0.106,246.81,1,0,0,29,4,2009
402,1488341,1.934,0.068,236.78,0,7,5,15,10,2009
403,1232200,1.656,0.046,237.63,18,10,4,20,4,2009
404,265450,0.16,0.104,240.6,1,1,34,19,6,2007
405,815441,0.346,0.082,240.51,0,0,5,5,7,2008
406,1211234,2.082,0,237.55,18,20,38,5,4,2009
407,355842,2.106,0.054,240.79,33,20,6,20,8,2007
408,1128554,2.83,0,237.75,38,10,38,7,2,2009
409,1586681,1.382,0.054,244.53,18,14,5,22,12,2009
410,1857104,1.356,0.106,240.63,18,9,8,28,6,2010
411,1221212,1.834,0.314,238.41,21,18,56,12,4,2009
412,1823908,1.506,0.186,242.03,21,7,52,5,6,2010
413,909032,0.28,0.128,244.83,1,23,56,7,9,2008
414,2035722,0.264,0,241.79,1,10,6,30,10,2010
415,815406,2.106,0.17,239.03,30,23,30,4,7,2008
416,1362563,0.648,0.124,242.17,0,22,47,19,7,2009
417,1094743,0.218,0,245.92,0,23,7,14,1,2009
418,789287,1.562,0.366,240.58,19,20,11,16,6,2008
419,408154,0.306,0.09,241.09,0,3,58,26,9,2007
420,15551,1.368,0.134,242.21,19,12,35,27,12,2006
421,1009438,0.85,0,240.08,2,17,22,16,11,2008
422,1399335,0.366,0.148,242.13,0,11,39,14,8,2009
423,886263,0.082,0,242.21,1,4,27,23,8,2008
424,135537,1.45,0.16,236.75,1,20,21,20,3,2007
425,1636697,2.056,0.054,238.85,18,7,41,26,1,2010
426,384165,2.982,0.372,233.92,18,12,9,9,9,2007
427,429166,0.218,0,240.05,0,18,10,10,10,2007
428,1908376,0.154,0,240.05,1,23,40,2,8,2010
429,306787,1.356,0,235.27,17,18,31,17,7,2007
430,1420301,0.232,0.13,240.61,3,1,5,29,8,2009
431,1227879,0.322,0,242.97,1,10,3,17,4,2009
432,1575427,2.814,0.242,244.59,21,18,31,14,12,2009
433,613061,1.342,0.054,239.16,17,11,5,15,2,2008
434,1256678,1.384,0.058,238.42,18,10,2,7,5,2009
435,651229,2.888,0.312,240.87,40,23,13,12,3,2008
436,201030,1.264,0.186,232.69,17,7,54,5,5,2007
437,979773,0.296,0.076,244.73,2,2,57,27,10,2008
438,1257120,0.274,0,242.65,1,17,24,7,5,2009
439,1251259,0.414,0,245.74,0,15,43,3,5,2009
440,300959,0.192,0.062,239.72,0,17,23,13,7,2007
441,2060283,1.42,0.07,241.45,18,11,27,16,11,2010
442,1331034,0.324,0.256,243.46,1,1,18,28,6,2009
443,534827,0.644,0.046,245.61,0,3,11,23,12,2007
444,1342750,0.25,0.154,244.23,1,4,34,6,7,2009
445,279268,0.264,0.136,241.77,0,15,52,28,6,2007
446,30229,0.85,0.108,233.09,0,17,13,6,1,2007
447,1248818,0.414,0.24,240.97,1,23,2,1,5,2009
448,194913,0.128,0,237.03,0,1,57,1,5,2007
449,1811081,1.27,0.09,235.55,17,10,5,27,5,2010
450,99083,1.556,0.198,241.27,18,12,47,23,2,2007
451,1665088,0.348,0.098,245.35,1,0,52,15,2,2010
452,542030,0.39,0.242,247.51,1,3,14,28,12,2007
453,725719,0.404,0.214,242.41,3,16,43,3,5,2008
454,163592,0.216,0,241.81,0,7,56,9,4,2007
455,662987,0.222,0,246.98,0,3,11,21,3,2008
456,2066404,1.92,0.17,236.85,17,17,28,20,11,2010
457,800406,1.362,0.188,236.62,17,13,30,24,6,2008
458,1068911,2.228,0.302,248.35,0,0,35,28,12,2008
459,1705853,1.392,0.068,241.75,19,8,17,15,3,2010
460,484388,2.68,0.102,241.96,38,2,32,18,11,2007
461,1897549,1.3,0.086,238.5,19,11,13,26,7,2010
462,1545244,1.378,0.184,242.39,0,19,28,23,11,2009
